Time,SG_21,SG_22,SG_24,SG_25,SG_26,SG_27,SG_28,SG_29,SG_30,SG_31,SG_32,SG_33,SG_34,SG_36,SG_37,SG_38,SG_39,SG_40,SG_41,SG_43,SG_44,SG_45,SG_46,SG_47,SG_50,SG_51,SG_52,SG_54,SG_57,SG_58,SG_59,SG_60,SG_61,SG_62,SG_63,SG_64,SG_65,SG_66,SG_67,SG_68,SG_95,SG_96,SG_108,SG_110
79.785,-481.5,78.92,285.8,26.63,334.2,481.6,59.93,-82.07,-300,250.5,270.1,584.6,124.8,432.5,226.1,342.2,214.5,292.3,247.2,698.3,531.7,70.51,80.22,-431,-435.3,-435.8,746.3,186.5,578.4,473.8,581.7,-599.8,352.3,153.9,-511.6,829.2,-799,36.15,17.66,-28.87,-27.92,51.05,-186.2,-69.31
79.79,-484.3,83.61,287.4,28.82,337.4,489.4,82.15,-94.91,-292.5,247.4,278.8,587.4,119.4,425,232.1,354.4,223.9,302.6,249.7,711.1,543.6,79.27,70.83,-449.7,-441.9,-435.8,754.7,187.7,574,466.2,601.6,-625.9,361.4,157.6,-527.9,830.4,-800.6,29.56,32.1,-40.73,-31.99,51.05,-187.7,-67.85
79.795,-489.9,90.48,289.9,31.32,337.7,501.9,105,-107.4,-281.6,241.4,291.9,594.9,113.8,412.9,236.4,364.5,231.7,311.6,251.2,729,563,85.83,59.57,-467.6,-446.6,-433.3,763.7,189.3,575.6,462.4,615.7,-645.6,375.9,163,-541.3,832.9,-804,24.23,44.65,-50.72,-34.81,48.87,-187.3,-67.48
79.8,-493.3,97.03,293,34.14,341.1,512.3,131,-122.2,-268.1,234.2,303.2,598.3,106.9,399.7,237.1,367.6,234.5,315.1,248.1,745.9,583,88.96,48.93,-488.2,-446.6,-424.5,775.6,190.5,577.1,459.6,625.8,-662.4,390.9,168.6,-555.7,834.8,-806.2,17.96,58.14,-61.03,-38.88,45.96,-184.7,-66.39
79.805,-493,100.8,294.9,36.02,346.1,519.2,146.6,-131.5,-260.3,231.7,311.6,599.3,101.2,396,234.6,367.6,233.3,316,241.9,756.2,596.8,88.96,44.23,-502.3,-443.8,-411,787.1,191.5,580.9,459.6,627.7,-669.2,398.8,171.1,-571.1,835.8,-806.2,11.05,71.01,-71.33,-43.58,43.41,-183.3,-64.2
79.81,-492.4,102.3,296.4,37.58,348.3,523.9,161,-141.3,-259.7,233.6,316.6,601.1,99.03,399.4,233.3,368.5,232.3,317.9,239,761.5,600.9,88.02,43.61,-517,-442.5,-402.3,794.6,192.1,585.3,463.1,634.6,-680.4,400.7,171.7,-579.2,837,-806.5,7.916,76.03,-75.39,-43.58,41.23,-185.5,-65.66
79.815,-494.3,104.2,298.3,39.78,347.4,526.7,172.6,-152.2,-269.1,238.9,319.1,603,102.8,410.4,236.8,372.6,233.9,321.9,244.1,763.7,601.2,85.52,49.55,-536.3,-446.3,-403.5,796.7,193.6,590.3,469.7,647.9,-698.2,400.7,172,-573.3,839.9,-809.7,11.68,69.44,-69.77,-41.39,42.68,-189.5,-68.21
79.82,-499.6,108.9,301.1,42.59,349.9,528.9,181.7,-159.7,-279.7,245.8,321,603.6,107.2,424.4,238.3,374.8,234.2,325.1,247.2,767.4,606.2,81.14,58.63,-554.8,-450,-403.8,801.7,195.2,596.6,476.6,659.5,-713.1,402.9,171.7,-569.8,843.3,-813.1,14.19,64.42,-65.71,-42.01,45.6,-192,-67.85
79.825,-504.6,114.8,304,44.78,353.6,533.9,192.6,-167.2,-284.7,251.1,325.1,606.8,108.1,434.4,236.4,373.2,231.1,325.1,245,774,612.5,78.02,63.32,-572,-448.1,-397.2,808.3,196.8,602.8,481.3,669.6,-725.9,405.4,172.6,-572.7,846.1,-815,13.56,65.04,-66.02,-42.64,44.5,-193.8,-68.21
79.83,-509.2,119.2,305.2,46.35,354.8,540.5,206.4,-176,-286.9,253.6,331.3,612.1,108.1,439.4,235.2,371.7,228.6,324.4,243.1,780.9,615.3,75.83,64.89,-586.1,-444.7,-390.6,812.3,197.4,608.2,484.8,679,-737.7,407,173.3,-573.3,848.3,-816.9,13.88,63.79,-64.77,-40.13,41.96,-196,-71.49
